data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
5554361,368,IRQ20734,20734,"11 July 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)","Labour Group (Iraq)",6,,,0,60,"Middle East",Iraq,Muthanna,"As Samawah",,"As Samawah",31.3059,45.2799,3,"Al Mirbad",National,"On July 11, a number of graduates of the Faculty of Management and Economics in Al-Muthanna province held a protest demanding employment. [size=not reported]",0,1563229629,IRQ
5554362,368,IRQ20735,20735,"11 July 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)","Labour Group (Iraq)",6,,,0,60,"Middle East",Iraq,Thi-Qar,Nassriya,,Nassriya,31.058,46.2573,3,"Al Mirbad",National,"On July 11, a number of graduates of the Faculty of Management and Economics in Thi-Qar province held a protest demanding employment. [size=not reported]",0,1563229629,IRQ
5554356,368,IRQ20729,20729,"10 July 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)","Health Workers (Iraq)",6,,,0,60,"Middle East",Iraq,Muthanna,"As Samawah",,"As Samawah",31.3059,45.2799,3,"Al Mirbad",National,"On July 10, a number of administrative staff in Al Muthanna health organized a protest in a number of hospitals and health institutions to demand an increase in the allocation of risk compensation and to provide them with housing. [size=not reported]",0,1563229629,IRQ
5554348,368,IRQ20721,20721,"09 July 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)",,6,,,0,60,"Middle East",Iraq,Thi-Qar,Nassriya,,Nassriya,31.058,46.2573,1,"Al Mirbad",National,"On July 9, tens of residents of south Nassirya city protested the water scarcity in the province, and not having enough water to fulfill all their needs. [size=tens]",0,1563229629,IRQ
5554350,368,IRQ20723,20723,"09 July 2019",2019,2,Protests,"Peaceful protest","Protesters (Iraq)","Health Workers (Iraq)",6,,,0,60,"Middle East",Iraq,Qadissiya,Diwaniya,,Diwaniya,31.9929,44.9255,1,"Al Mirbad",National,"As reported on July 09, tens of health workers protested in Diwaniyah inside the directorate building demanding that the payment of their delayed salaries. [size=tens]",0,1563229629,IRQ
5548539,368,IRQ20678,20678,"05 July 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)",,6,,,0,60,"Middle East",Iraq,Qadissiya,Diwaniya,,Diwaniya,31.9929,44.9255,1,"Al Mirbad",National,"On July 5, a number of local activists and citizens protested in Diwaniyah demanding the dissolution of the provincial council for not providing the necessary services. [size=not reported]",0,1562633994,IRQ
5548523,368,IRQ20666,20666,"04 July 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)","Journalists (Iraq)",6,,,0,60,"Middle East",Iraq,Basrah,Basrah,,Basrah,30.533,47.7975,1,"National Iraqi News Agency",National,"On July 4, a number of journalists protested outside the local government building in Basra to protest against the statement of the Commander of Operations of Basra and his threat to arrest journalists. [size=not reported]",0,1562633994,IRQ
5548534,368,IRQ20673,20673,"04 July 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)",,6,,,0,60,"Middle East",Iraq,Muthanna,"As Samawah",,"As Samawah",31.3059,45.2799,1,"Al Mirbad",National,"On July 4, citizens in Muthanna province in central As Samawah city demanding that the political disputes do not impact the health file, as all government departments need administrative stability away from suspicions of corruption. [size=not reported]",0,1562633994,IRQ
5548535,368,IRQ20674,20674,"04 July 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)","Teachers (Iraq)",6,,,0,60,"Middle East",Iraq,Basrah,Al-Zubair,,Al-Zubair,30.3921,47.7017,1,"Al Mirbad",National,"On July 4, the teachers union in Basra province protested in front of the headquarters of the union sector in Zubair demanding the activation of the law to protect teachers, in the backdrop of the attack on a faculty member during invigilation of ministerial examinations by one of the students who was caught cheating. [size=not reported]",0,1562633994,IRQ
5548536,368,IRQ20675,20675,"04 July 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)","Journalists (Iraq)",6,,,0,60,"Middle East",Iraq,Basrah,Basrah,,Basrah,30.533,47.7975,1,"Al Mirbad",National,"On July 4, journalists protested near the local provincial building in al Maqal against the oppression of speech of journalists and the threat of prison for journalists who cover unauthorized protests. [size=not reported]",0,1562633994,IRQ
